Hour;Load
1957;1,446
1958;1,428
1959;1,44
1960;1,47
1961;1,506
1962;1,608
1963;1,608
1964;1,794
1965;1,782
1966;1,806
1967;1,818
1968;1,824
1969;1,872
1970;1,764
1971;1,812
1972;1,818
1973;1,782
1974;1,86
1975;1,866
1976;1,938
1977;1,914
1978;2,076
1979;2,106
1980;2,118
1981;2,118
1982;2,148
1983;2,124
1984;2,118
1985;2,052
1986;2,106
1987;1,998
1988;2,022
1989;2,016
1990;2,088
1991;2,094
1992;2,256
1993;2,37
1994;2,286
1995;2,286
1996;2,148
1997;2,208
1998;2,13
1999;2,286
2000;2,37
2001;2,466
2002;2,412
2003;2,544
2004;2,574
2005;2,508
2006;2,496
2007;2,328
2008;2,394
2009;2,304
2010;2,424
2011;2,382
2012;2,358
2013;2,364
2014;2,406
2015;2,412
2016;2,52
2017;2,526
2018;2,472
2019;2,346
2020;2,352
2021;2,436
2022;2,412
2023;2,466
2024;2,436
2025;2,55
2026;2,496
2027;2,502
2028;2,496
2029;2,46
2030;2,556
2031;2,514
2032;2,502
2033;2,4
2034;2,238
2035;2,154
2036;2,22
2037;2,136
2038;2,22
2039;2,208
2040;2,238
2041;2,238
2042;2,148
2043;2,112
2044;2,064
2045;2,046
2046;2,004
2047;2,082
2048;2,136
2049;2,058
2050;2,088
2051;2,058
2052;2,088
2053;2,112
2054;2,13
2055;2,214
2056;2,214
2057;2,268
2058;2,328
2059;2,226
2060;2,25
2061;2,22
2062;2,22
2063;2,286
2064;2,238
2065;2,118
2066;2,148
2067;2,112
2068;2,154
2069;2,148
2070;2,148
2071;2,154
2072;2,178
2073;2,166
2074;2,1
2075;2,112
2076;2,118
2077;2,178
2078;2,226
2079;2,238
2080;2,268
2081;2,268
2082;2,304
2083;2,148
2084;2,286
2085;2,31
2086;2,304
2087;2,352
2088;2,454
2089;2,37
2090;2,4
2091;2,34
2092;2,34
2093;2,208
2094;2,352
2095;2,334
2096;2,424
2097;2,484
2098;2,448
2099;2,538
2100;2,448
2101;2,178
2102;2,1
2103;2,142
2104;2,124
2105;2,124
2106;2,052
2107;2,094
2108;2,136
2109;2,154
2110;2,046
2111;2,226
2112;2,25
2113;2,142
2114;2,226
2115;2,178
2116;2,184
2117;2,1
2118;2,196
2119;2,142
2120;2,142
2121;2,256
2122;2,448
2123;2,394
2124;2,376
2125;2,466
2126;2,43
2127;2,4
2128;2,424
2129;2,388
2130;2,394
2131;2,352
2132;2,43
2133;2,454
2134;2,4
2135;2,49
2136;2,538
2137;2,43
